---
料理
料理-中間素材
塩,18,料理(焼く),料理_0.0,木炭/海水
塩,7,料理(切る),料理_0.0,岩塩
砂糖,3,料理(切る),料理_0.0,さとうきび
砂糖,5,料理(切る),料理_0.0,さとうきび/臼
小麦粉,5,料理(切る),料理_0.0,臼/小麦
そば粉,5,料理(焼く),料理_0.0,そばの実/臼
パン粉,10,料理(切る),料理_1.0,パン
パン粉,3,料理(切る),料理_1.0,ミニ ブレッド
パン生地,3,料理(切る),料理_2.0,小麦粉/ミニ ウォーター ボトル
パン生地,3,料理(切る),料理_2.0,小麦粉/ウォーター ボトル
パン生地,3,料理(切る),料理_2.0,小麦粉/湧き水
ブレッドミックス,1,料理(切る),料理_3.0,バター/パン生地
生クリーム,1,料理(切る),料理_3.0,ミルク
イチゴジャム,1,料理(焼く),料理_4.0,イチゴ/砂糖
チーズ,1,料理(切る),料理_4.0,ミルク/酢/塩
バター,1,料理(切る),料理_5.0,ミルク/塩
精米,2,料理(切る),料理_8.0,玄米
米ぬか,1,料理(切る),料理_8.0,玄米
もち,10,料理(焼く),料理_8.0,もち米x10/臼
大根おろし,10,料理(切る),料理_8.0,大根/金物ヤスリ
とろろ,5,料理(切る),料理_10.0,自然薯/金物ヤスリ
練りワサビ,2,料理(切る),料理_10.0,ワサビ
餡,10,料理(焼く),料理_10.0,小豆x10/砂糖x5/塩
クッキーミックス,1,料理(切る),料理_10.0,ハチミツ/パン生地
オリーブ オイル,5,料理(切る),料理_10.0,臼/オリーブの実
ゼラチン,3,料理(焼く),料理_10.0,動物の生皮x3/ミニ ウォーター ボトル/タイガー ボーン
ゼラチン,1,料理(焼く),料理_10.0,動物の生皮x3/ミニ ウォーター ボトル/ラット ボーン
ゼラチン,2,料理(焼く),料理_10.0,動物の生皮x3/ミニ ウォーター ボトル/イクシオン ボーン
ゼラチン,5,料理(焼く),料理_10.0,動物の生皮x3/ミニ ウォーター ボトル/オークの骨
ケチャップ,3,料理(焼く),料理_15.0,トマトジュース/塩/砂糖/とうがらし
練乳,3,料理(焼く),料理_15.0,砂糖/ミルク
パイ生地,1,料理(切る),料理_17.0,小麦粉/ウォーター ボトル/バター
パイ生地,1,料理(切る),料理_17.0,小麦粉/ミニ ウォーター ボトル/バター
ちくわぶ,3,料理(焼く),料理_20.0,小麦粉/ミニ ウォーター ボトル/塩/ウッドゥン シャフト
麺,10,料理(切る),料理_30.0,小麦粉x5/ミニ ウォーター ボトルx2/塩/ウッドゥン スティック,,5
おかか,10,料理(切る),料理_30.0,荒節/金物ヤスリ
コーヒー粉,3,料理(焼く),料理_31.0,コーヒー豆/臼
味噌,5,料理(切る),料理_35.0,湧き水/岩塩/大豆/米ぬか
荒節,5,料理(焼く),料理_35.0,赤身魚の切り身x5/ウォーター ボトル/トレントの枝
出汁,5,料理(焼く),料理_38.0,荒節/ミニ ウォーター ボトルx5
めんつゆ,1,料理(焼く),料理_38.0,出汁/醤油/みりん
そば,10,料理(切る),料理_40.0,そば粉x4/小麦粉/ミニ ウォーター ボトルx2/ウッドゥン スティック,,5
ソース,10,料理(焼く),料理_44.0,トマト/たまねぎ/とうがらし/セージの葉/砂糖x3/塩x3/酢/ミニ ウォーター ボトルx3
ハンバーグパティ,3,料理(切る),料理_48.0,バイソンの肉x3/オークの肉/たまねぎ/パン粉x3/ヘビの卵/塩/こしょう
ホワイト ソース,3,料理(焼く),料理_67.0,小麦粉/ミルク/塩/こしょう/たまねぎ/バター
十割そば,5,料理(切る),料理_70.0,そば粉x5/ミニ ウォーター ボトルx2/ウッドゥン スティック,,5
